,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ
2919,2,1,88000,136500000,1,2,2,30,1,0,4,1,6,0
2920,1,1,728000,507600000,2,1,4,40,1,0,2,4,8,0
2922,1,1,568000,587300000,5,3,5,36,1,1,1,2,12,0
2924,1,1,264000,538100000,5,1,3,31,1,0,2,4,15,0
2925,2,1,744000,141000000,3,2,4,31,1,1,3,4,12,0
2926,1,1,752000,62700000,2,1,4,36,1,0,4,1,3,0
2927,2,1,760000,360700000,5,2,3,29,1,0,2,2,5,0
2929,1,1,416000,386400000,5,3,5,45,1,0,3,2,5,0
2930,2,2,392000,16900000,4,2,2,25,0,0,2,2,6,0
2933,2,1,128000,567800000,4,2,3,29,1,0,3,2,5,0
2934,1,1,152000,167000000,3,1,3,36,1,0,1,4,6,0
2935,2,1,800000,134500000,2,2,5,31,1,1,2,1,12,0
2936,2,1,464000,358000000,2,1,3,32,0,0,2,4,8,0
2937,1,1,480000,371000000,1,2,2,25,1,0,3,2,9,0
2938,2,1,160000,209400000,3,1,4,35,1,1,4,1,6,0
2941,1,1,120000,260800000,5,3,5,36,1,0,4,2,12,0
2943,1,1,488000,29800000,5,1,3,31,1,0,3,4,6,0
2944,2,1,232000,340000000,3,2,4,31,1,1,1,4,10,0
2945,1,1,680000,575300000,2,1,4,36,1,0,3,1,12,0
2946,2,1,432000,292200000,5,2,3,29,1,0,2,2,4,0
2948,1,1,360000,138100000,5,3,5,45,1,1,4,2,3,0
2949,2,2,528000,65900000,4,2,2,25,0,0,2,2,5,0
2952,2,1,192000,219700000,4,2,3,29,1,0,1,1,6,0
2953,1,1,584000,531800000,3,1,3,36,1,0,2,4,8,0
2955,2,1,432000,561000000,2,1,3,32,0,0,2,4,12,0
2956,1,1,320000,323300000,1,2,2,25,1,0,4,2,3,0
2957,2,1,288000,404800000,3,1,4,35,1,1,2,4,15,0
2959,1,2,96000,32600000,5,3,5,35,1,1,1,1,3,0
2961,1,1,720000,469500000,3,1,4,29,1,0,2,4,3,0
2962,1,1,352000,574600000,3,1,5,45,1,0,3,2,5,0
2963,2,1,648000,24800000,1,2,2,30,1,1,4,2,6,0
2966,1,1,416000,463700000,5,3,5,36,1,0,4,1,3,0
2967,2,1,784000,560800000,3,3,5,37,0,0,2,2,5,0
2968,1,1,472000,597300000,5,1,3,31,1,0,3,2,6,0
2969,2,1,112000,283200000,3,2,4,31,1,1,1,2,3,0
2970,1,1,776000,180900000,2,1,4,36,1,0,3,2,9,0
2971,2,1,560000,399700000,5,2,3,29,1,0,2,2,5,0
2973,1,1,336000,37800000,5,3,5,45,1,1,4,4,9,0
2974,2,2,704000,332100000,4,2,2,25,0,0,2,1,6,0
2976,2,1,456000,284000000,3,1,3,32,0,1,3,4,3,0
2977,2,1,88000,271000000,4,2,3,29,1,0,3,2,5,0
2978,2,2,96000,228500000,3,2,2,28,1,0,2,2,12,0
2982,1,2,176000,296000000,5,3,5,35,1,1,4,2,9,0
2983,1,1,488000,385100000,1,2,1,25,0,1,2,2,12,0
2984,1,1,640000,58000000,3,1,4,29,1,1,3,2,3,0
2985,1,1,232000,472900000,3,1,5,45,1,1,1,2,15,0
2987,1,1,216000,503300000,2,1,4,40,1,0,2,3,12,0
2988,2,1,440000,557600000,3,2,4,32,0,1,3,2,3,0
2991,1,1,712000,266400000,5,1,3,31,1,0,4,4,15,0
2992,2,1,504000,152700000,3,2,4,31,1,0,4,2,6,0
2993,1,1,592000,265900000,2,1,4,36,1,0,2,1,8,0
2994,2,1,536000,485500000,5,2,3,29,1,1,3,2,9,0
2995,2,1,376000,577200000,2,3,5,34,1,0,1,4,12,0
2996,1,1,336000,432500000,5,3,5,45,1,0,3,2,3,0
2998,1,2,664000,524800000,2,1,4,30,0,1,3,4,12,0
2999,2,1,408000,555800000,3,1,3,32,0,0,4,1,3,0
380,2,1,160000,379300000,3,2,4,32,0,1,3,4,9,1
1549,2,1,688000,581500000,5,3,5,37,0,0,2,2,3,1
967,2,1,224000,296200000,2,2,5,31,1,1,2,1,12,1
394,2,1,456000,565400000,2,2,5,31,1,1,2,1,12,1
267,2,1,568000,204500000,2,3,5,40,0,1,2,3,12,1
2477,2,1,720000,177900000,3,2,4,32,0,1,3,4,9,1
78,2,1,424000,135100000,2,3,5,40,0,1,2,2,12,1
2168,2,1,792000,484100000,2,1,3,32,0,1,2,3,9,1
442,1,1,616000,95400000,1,2,1,25,0,1,2,2,5,1
1655,2,1,400000,210600000,3,2,4,32,0,1,2,4,9,1
761,1,1,408000,356600000,2,1,4,40,1,0,2,4,8,1
1171,2,1,248000,264600000,3,2,4,31,1,1,4,4,12,1
1625,1,1,424000,380500000,1,2,1,25,0,1,3,2,5,1
323,1,1,104000,54900000,5,1,3,31,1,0,4,4,15,1
1321,2,1,648000,552200000,3,2,4,31,1,1,4,4,12,1
368,2,1,320000,20400000,3,1,3,32,0,1,4,3,9,1
2347,1,1,264000,452300000,3,1,5,45,1,1,1,4,8,1
475,1,1,344000,438200000,5,1,3,31,1,0,4,2,15,1
2340,2,2,784000,460000000,3,2,2,28,1,0,3,3,5,1
1100,1,1,624000,504400000,1,2,1,25,0,1,3,4,5,1
2721,1,1,672000,487200000,2,2,2,25,1,0,2,2,9,1
1220,1,1,776000,176100000,1,2,1,25,0,1,2,2,5,1
1745,2,1,768000,37600000,3,2,4,32,0,1,3,4,9,1
1468,2,1,744000,119600000,3,2,3,29,1,0,3,2,5,1
2841,1,1,280000,309100000,5,1,3,31,1,0,4,2,9,1
1370,2,1,496000,334300000,3,3,5,40,0,1,2,2,12,1
681,2,1,544000,464900000,2,3,5,37,0,0,2,2,3,1
985,1,1,544000,162800000,1,2,1,25,0,1,2,2,5,1
571,2,1,792000,439000000,3,3,5,37,0,0,2,1,3,1
1630,2,1,704000,300400000,3,2,4,32,0,1,2,4,9,1
1116,2,1,344000,46700000,3,1,3,32,0,1,2,4,9,1
80,1,1,408000,267300000,1,2,1,25,0,1,2,2,5,1
902,1,1,680000,398800000,3,1,3,36,1,0,4,4,6,1
2642,2,1,384000,268300000,3,2,4,31,1,1,4,4,12,1
1983,1,1,600000,386200000,5,1,3,31,1,0,4,4,15,1
1682,2,1,624000,356900000,3,2,4,31,1,1,2,4,12,1
216,2,1,336000,81500000,3,2,4,31,1,1,4,4,12,1
1810,1,1,640000,234300000,5,1,3,31,1,0,4,4,15,1
2410,2,1,552000,163700000,3,2,4,32,0,1,3,2,9,1
1689,2,1,312000,565500000,3,1,3,32,0,1,4,3,9,1
2472,1,1,248000,129300000,1,2,1,25,0,1,2,2,5,1
2761,1,1,576000,303700000,5,3,5,45,1,1,3,2,5,1
674,1,1,488000,560000000,1,2,1,25,0,1,1,2,5,1
2428,1,1,800000,404800000,1,2,1,25,0,1,2,2,5,1
1994,2,1,736000,561400000,2,2,5,31,1,1,2,1,12,1
2004,1,1,440000,293200000,2,1,4,40,1,0,2,4,8,1
870,2,1,608000,271000000,2,3,5,40,0,1,2,2,12,1
2921,2,1,336000,433900000,3,2,4,32,0,0,3,4,9,1
1786,2,1,680000,537400000,3,2,4,31,1,1,4,2,12,1
475,1,1,344000,438200000,5,1,3,31,1,0,4,2,15,1
1717,1,1,312000,101100000,1,2,1,25,0,1,2,2,5,1
2889,1,1,208000,460200000,2,2,2,25,1,0,2,2,9,1
2285,1,1,392000,279500000,1,2,1,25,0,1,2,2,5,1
78,2,1,424000,135100000,2,3,5,40,0,1,2,2,12,1
2950,1,2,184000,577000000,2,1,4,30,0,0,4,1,12,1
594,2,1,392000,406500000,5,2,4,32,0,1,3,4,9,1
978,2,1,736000,518200000,3,2,4,32,0,1,3,4,9,1
1377,2,1,240000,260200000,3,2,4,32,0,1,3,4,9,1
2120,2,1,544000,123800000,2,2,4,32,0,1,2,4,9,1
1124,1,2,104000,416900000,5,3,5,35,1,1,2,2,3,1
53,2,1,792000,332200000,2,3,5,40,0,1,2,2,12,1
863,2,1,448000,376700000,3,1,3,32,0,1,4,3,9,1
2740,1,2,208000,309900000,5,1,4,30,0,0,3,1,3,1
1228,1,1,264000,450400000,5,1,3,31,1,0,4,4,15,1
2000,1,1,696000,203100000,1,2,1,25,0,1,2,2,5,1
1208,1,1,112000,549500000,1,2,1,25,0,1,2,2,5,1
337,1,1,520000,537000000,2,1,4,36,1,0,2,1,3,1
1303,2,1,568000,75300000,3,1,3,32,0,1,4,3,9,1
1613,1,1,640000,494400000,1,2,1,25,0,1,4,2,5,1
1524,2,1,640000,39400000,5,2,5,31,1,1,2,1,12,1
1802,1,1,776000,236800000,1,2,1,25,0,1,2,2,5,1
2739,2,2,768000,441100000,2,2,2,25,0,0,2,2,6,1
125,1,1,376000,98400000,5,1,3,31,1,0,4,4,15,1
732,1,1,744000,456700000,5,2,1,25,0,1,4,2,5,1
300,1,1,616000,112100000,5,1,3,31,1,0,1,4,15,1
1991,2,1,768000,86900000,3,1,3,32,0,1,4,3,9,1
1377,2,1,240000,260200000,3,2,4,32,0,1,3,4,9,1
7,1,1,250000,150000000,1,2,1,25,0,1,2,2,5,1
1381,2,1,208000,11800000,2,2,4,31,1,1,4,4,12,1
2003,2,1,728000,374500000,1,2,2,30,1,1,2,1,6,1
391,2,1,456000,355300000,3,1,3,32,0,1,4,3,9,1
2728,2,1,232000,520500000,3,2,2,30,1,1,2,1,6,1
2896,2,1,544000,574100000,1,2,2,30,1,1,4,1,6,1
1692,2,1,88000,124400000,2,2,5,31,1,1,2,1,12,1
2481,2,1,96000,298500000,3,2,4,31,1,1,4,4,12,1
1428,1,1,432000,240700000,2,1,3,31,1,0,4,4,15,1
2581,1,1,144000,14200000,5,1,3,31,1,0,3,4,15,1
1966,2,1,304000,80500000,1,2,2,30,1,1,2,1,6,1
576,2,1,200000,480700000,2,3,5,34,1,0,1,4,3,1
715,2,1,584000,264900000,5,1,3,32,0,0,4,4,8,1
964,2,1,776000,468300000,3,1,3,32,0,1,4,3,9,1
2876,1,1,712000,377100000,3,1,3,31,1,0,4,4,15,1
967,2,1,224000,296200000,2,2,5,31,1,1,2,1,12,1
1618,2,1,216000,114700000,3,2,4,32,0,1,2,4,9,1
1634,2,1,192000,174500000,3,2,4,31,1,1,2,4,12,1
2566,2,1,112000,173900000,3,2,4,31,1,1,2,4,12,1
901,2,1,168000,347400000,4,2,3,29,1,0,2,2,5,1
2480,1,1,272000,101500000,5,1,3,31,1,0,4,4,15,1
1056,2,1,608000,569800000,2,3,5,40,0,1,2,2,12,1
2562,2,1,424000,413200000,3,2,4,32,0,1,3,4,9,1
2541,2,1,328000,129000000,3,2,4,31,1,1,4,4,12,1
2649,2,1,376000,240200000,3,1,3,32,0,1,4,3,9,1
1201,2,1,400000,556000000,3,1,3,32,0,1,4,2,12,1
193,2,1,304000,481000000,3,2,4,31,1,1,4,4,12,1
2790,2,1,400000,434600000,1,2,4,32,0,1,3,4,9,1
773,2,1,776000,401600000,2,1,3,32,0,1,4,3,9,1
2697,2,1,416000,42800000,3,1,3,32,0,1,4,3,9,1
668,2,1,552000,435900000,3,2,5,31,1,1,4,1,12,1
1351,2,1,640000,572800000,3,1,3,32,0,1,4,3,9,1
1748,1,1,632000,225200000,5,1,3,31,1,0,4,4,15,1
151,2,1,584000,170100000,5,2,3,29,1,0,3,2,5,1
564,2,1,232000,278600000,2,2,5,31,1,1,2,1,12,1
55,1,1,656000,516700000,1,2,1,25,0,1,2,2,5,1
2866,2,1,304000,45500000,2,3,5,40,0,1,2,2,12,1
249,2,1,360000,501200000,3,2,4,32,0,1,3,4,9,1
2942,2,1,704000,548100000,3,3,5,37,0,0,2,2,3,1
1841,2,1,376000,393600000,3,2,4,31,1,1,4,4,12,1
1220,1,1,776000,176100000,1,2,1,25,0,1,2,2,5,1
467,1,1,432000,111400000,1,2,1,25,0,1,2,1,5,1
2290,2,1,208000,499300000,3,2,4,32,0,1,3,4,9,1
1673,1,1,88000,218800000,1,2,1,25,0,1,4,2,5,1
239,2,1,264000,262500000,3,3,5,37,0,0,2,2,3,1
500,1,1,136000,447600000,1,2,2,25,1,0,2,2,9,1
1770,2,1,400000,215600000,3,2,4,32,0,1,3,4,9,1
2090,1,1,776000,361100000,3,2,1,25,0,1,2,2,5,1
1391,2,1,352000,285600000,3,2,5,31,1,1,2,1,12,1
2388,1,1,168000,216400000,5,1,3,31,1,0,4,4,15,1
1490,1,1,640000,312700000,5,1,3,31,1,0,4,4,15,1
1031,2,1,648000,569200000,2,3,5,40,0,1,2,2,12,1
1344,2,1,392000,574300000,3,2,4,31,1,1,4,4,12,1
2729,1,1,152000,114300000,3,1,4,40,1,0,2,4,8,1
1738,2,1,224000,261100000,2,3,5,40,0,1,2,2,12,1
822,2,1,544000,318100000,2,3,5,40,0,1,2,2,12,1
151,2,1,584000,170100000,5,2,3,29,1,0,3,2,5,1
100,1,1,232000,338000000,5,1,3,31,1,0,4,4,15,1
487,1,1,504000,282400000,5,1,3,31,1,0,4,2,15,1
714,2,1,592000,285200000,3,2,3,29,1,0,3,2,5,1
2947,2,1,472000,109100000,2,3,5,34,1,0,3,2,12,1
2748,1,1,360000,495400000,2,2,1,25,0,1,2,2,5,1
117,1,1,112000,366800000,1,2,1,25,0,1,4,2,5,1
178,2,1,240000,375600000,2,2,5,31,1,1,2,1,12,1
1782,2,1,728000,72300000,3,2,4,32,0,1,3,2,9,1
1443,2,1,552000,53300000,3,2,4,32,0,1,3,4,9,1
2023,1,1,704000,414500000,5,2,1,25,0,1,2,2,5,1
2573,2,1,416000,34800000,3,1,3,32,0,1,3,3,9,1
2838,2,1,496000,595300000,1,2,4,32,0,1,3,4,15,1
361,2,1,408000,172400000,3,2,4,31,1,1,4,4,12,1
2414,2,1,152000,266100000,3,2,4,31,1,1,4,4,12,1
2565,1,1,504000,46300000,5,1,3,31,1,0,4,4,15,1
1938,2,1,496000,169700000,2,3,5,40,0,1,2,2,12,1
2615,2,1,800000,92800000,2,2,5,31,1,1,4,1,12,1
2160,1,1,224000,93500000,2,1,3,31,1,0,4,4,15,1
1634,2,1,192000,174500000,3,2,4,31,1,1,2,4,12,1
2269,2,1,512000,34600000,3,2,4,31,1,1,4,4,12,1
2718,1,1,456000,67600000,3,1,3,36,1,0,4,4,6,1
16,2,1,180000,180000000,3,2,4,31,1,1,4,4,12,1
778,2,1,288000,247000000,2,3,5,40,0,1,2,2,12,1
1782,2,1,728000,72300000,3,2,4,32,0,1,3,2,9,1
2711,2,1,104000,557700000,3,2,3,29,1,0,3,2,5,1
1413,2,1,544000,26300000,2,1,3,32,0,1,4,3,9,1
2801,2,1,728000,126900000,4,1,3,32,0,1,4,3,9,1
1395,2,1,632000,434100000,3,3,5,40,0,1,2,2,12,1
740,1,1,696000,154500000,1,1,3,31,1,0,4,4,15,1
55,1,1,656000,516700000,1,2,1,25,0,1,2,2,5,1
1958,2,1,720000,131600000,2,1,3,32,0,0,1,3,8,1
1633,1,1,176000,143300000,5,1,3,31,1,0,3,4,15,1
2444,2,1,432000,156900000,3,1,3,32,0,1,4,3,9,1
2028,2,1,96000,572300000,3,2,4,32,0,1,3,4,9,1
2629,1,1,656000,150900000,5,1,3,31,1,0,3,4,15,1
856,2,1,640000,332200000,3,2,4,31,1,1,4,4,12,1
1998,2,1,304000,492800000,2,3,5,40,0,1,2,2,12,1
352,1,1,688000,171600000,1,2,1,25,0,1,2,2,5,1
2596,1,1,456000,332400000,1,2,1,25,0,1,1,2,5,1
1717,1,1,312000,101100000,1,2,1,25,0,1,2,2,5,1
1443,2,1,552000,53300000,3,2,4,32,0,1,3,4,9,1
822,2,1,544000,318100000,2,3,5,40,0,1,2,2,12,1
2649,2,1,376000,240200000,3,1,3,32,0,1,4,3,9,1
2313,2,1,648000,339600000,3,1,3,32,0,1,4,3,9,1
610,2,1,112000,436400000,5,3,5,40,0,1,2,2,12,1
1915,2,1,432000,521600000,2,3,5,40,0,1,2,2,12,1
126,2,1,608000,179600000,3,2,4,31,1,1,2,4,12,1
1860,2,1,536000,344000000,3,2,4,32,0,1,3,4,9,1
569,2,1,232000,419100000,3,2,4,32,0,1,3,4,9,1
2942,2,1,704000,548100000,3,3,5,37,0,0,2,2,3,1
2470,2,1,536000,357500000,2,3,5,40,0,1,2,2,12,1
866,2,1,224000,165200000,2,2,5,31,1,1,2,1,12,1
313,2,1,120000,326400000,2,3,5,40,0,1,3,2,12,1
2804,2,1,552000,416900000,4,2,5,31,1,1,2,1,12,1
2039,2,1,592000,518600000,3,1,3,32,0,1,4,3,9,1
2410,2,1,552000,163700000,3,2,4,32,0,1,3,2,9,1
1967,1,1,448000,67200000,2,1,4,40,1,0,2,4,8,1
2023,1,1,704000,414500000,5,2,1,25,0,1,2,2,5,1
2283,2,1,208000,236400000,2,3,5,40,0,1,2,2,12,1
2804,2,1,552000,416900000,4,2,5,31,1,1,2,1,12,1
100,1,1,232000,338000000,5,1,3,31,1,0,4,4,15,1
2183,1,1,344000,375300000,2,1,3,31,1,0,2,4,15,1
1966,2,1,304000,80500000,1,2,2,30,1,1,2,1,6,1
1208,1,1,112000,549500000,1,2,1,25,0,1,2,2,5,1
2810,1,1,360000,388700000,2,2,1,25,0,1,2,2,3,1
1171,2,1,248000,264600000,3,2,4,31,1,1,4,4,12,1
2260,1,1,88000,297500000,1,2,1,25,0,1,2,2,5,1
1793,2,1,136000,127600000,3,1,3,32,0,1,4,1,9,1
1236,2,1,640000,183900000,3,1,3,32,0,1,4,3,9,1
1678,2,1,608000,452800000,3,2,4,32,0,1,2,4,9,1
822,2,1,544000,318100000,2,3,5,40,0,1,2,2,12,1
674,1,1,488000,560000000,1,2,1,25,0,1,1,2,5,1
803,2,1,144000,336100000,2,3,5,40,0,1,2,2,15,1
1368,1,1,128000,450600000,3,1,3,31,1,0,4,4,15,1
1340,2,1,440000,67800000,3,2,4,32,0,1,3,4,9,1
1008,2,1,568000,34900000,2,3,5,40,0,1,2,2,12,1
2235,2,1,520000,498800000,2,3,5,40,0,1,2,2,12,1
2219,2,1,680000,518300000,3,3,5,37,0,0,2,2,3,1
2633,1,1,168000,433500000,1,2,1,25,0,1,2,2,5,1
918,2,1,224000,290200000,3,2,4,31,1,1,4,4,12,1
1276,1,1,776000,300900000,5,1,3,31,1,0,4,4,3,1
2511,2,1,496000,126600000,3,1,3,32,0,1,4,3,9,1
1618,2,1,216000,114700000,3,2,4,32,0,1,2,4,9,1
1459,1,1,432000,465800000,5,2,2,25,1,0,2,2,9,1
2293,1,1,360000,80700000,5,1,3,31,1,0,4,4,15,1
1131,1,1,712000,59600000,5,3,5,36,1,0,2,2,12,1
2395,1,2,504000,583100000,2,1,4,30,0,0,3,4,3,1
803,2,1,144000,336100000,2,3,5,40,0,1,2,2,15,1
2889,1,1,208000,460200000,2,2,2,25,1,0,2,2,9,1
832,1,1,672000,358100000,5,1,3,31,1,0,4,4,15,1
2414,2,1,152000,266100000,3,2,4,31,1,1,4,4,12,1
2347,1,1,264000,452300000,3,1,5,45,1,1,1,4,8,1
2907,2,2,128000,46800000,4,2,2,25,0,1,2,2,6,1
1328,2,1,112000,83800000,3,1,3,32,0,1,4,3,9,1
2372,1,1,688000,545400000,2,1,4,40,1,0,2,4,8,1
2143,2,1,352000,526600000,2,1,3,32,0,1,3,3,9,1
1673,1,1,88000,218800000,1,2,1,25,0,1,4,2,5,1
829,2,1,464000,14700000,3,2,4,32,0,1,3,4,9,1
2447,2,1,712000,37100000,2,2,5,31,1,1,2,1,12,1
416,2,1,376000,56400000,3,1,4,35,1,1,1,1,6,1
2914,2,1,160000,432700000,2,3,5,40,0,1,2,2,12,1
1763,2,1,112000,567000000,2,3,5,40,0,1,2,2,12,1
1565,2,1,560000,392700000,2,3,5,40,0,1,1,2,4,1
1998,2,1,304000,492800000,2,3,5,40,0,1,2,2,12,1
956,1,1,656000,253800000,5,1,3,31,1,0,4,4,15,1
1807,2,1,192000,450900000,3,2,4,32,0,1,3,4,9,1
2842,2,1,200000,138800000,3,2,4,31,1,1,4,4,12,1
1370,2,1,496000,334300000,3,3,5,40,0,1,2,2,12,1
1372,1,1,736000,198000000,5,2,1,25,0,1,2,2,5,1
416,2,1,376000,56400000,3,1,4,35,1,1,1,1,6,1
2160,1,1,224000,93500000,2,1,3,31,1,0,4,4,15,1
2207,2,2,360000,103600000,4,2,2,25,0,0,3,2,3,1
300,1,1,616000,112100000,5,1,3,31,1,0,1,4,15,1
2470,2,1,536000,357500000,2,3,5,40,0,1,2,2,12,1
416,2,1,376000,56400000,3,1,4,35,1,1,1,1,6,1
7,1,1,250000,150000000,1,2,1,25,0,1,2,2,5,1
2268,1,1,752000,473700000,5,1,3,31,1,0,4,4,15,1
785,2,1,208000,158200000,3,2,4,32,0,1,3,4,9,1
2003,2,1,728000,374500000,1,2,2,30,1,1,2,1,6,1
2997,2,2,608000,390800000,4,2,2,25,0,0,2,4,15,1
2604,1,1,464000,258300000,5,1,3,31,1,0,1,4,15,1
803,2,1,144000,336100000,2,3,5,40,0,1,2,2,15,1
1368,1,1,128000,450600000,3,1,3,31,1,0,4,4,15,1
1429,2,1,736000,377800000,2,2,4,31,1,1,4,4,12,1
2253,2,1,248000,399700000,3,1,3,32,0,1,4,3,9,1
472,2,1,288000,470700000,3,2,4,32,0,1,3,4,9,1
193,2,1,304000,481000000,3,2,4,31,1,1,4,4,12,1
2414,2,1,152000,266100000,3,2,4,31,1,1,4,4,12,1
2581,1,1,144000,14200000,5,1,3,31,1,0,3,4,15,1
2372,1,1,688000,545400000,2,1,4,40,1,0,2,4,8,1
2511,2,1,496000,126600000,3,1,3,32,0,1,4,3,9,1
1476,2,1,528000,308000000,3,2,5,31,1,1,2,1,12,1
884,1,1,568000,318000000,1,2,1,25,0,1,2,2,5,1
2932,2,1,736000,355800000,3,1,3,32,0,1,2,3,9,1
1557,1,2,520000,330700000,2,1,4,30,0,0,2,1,3,1
725,2,1,800000,515700000,5,2,4,32,0,1,3,4,9,1
654,2,1,680000,97000000,2,2,4,32,0,1,3,4,9,1
447,2,1,328000,478000000,3,2,4,32,0,1,3,4,9,1
1425,2,1,320000,510200000,3,2,4,32,0,1,3,4,9,1
2711,2,1,104000,557700000,3,2,3,29,1,0,3,2,5,1
1049,2,1,792000,256400000,3,1,3,32,0,1,4,3,9,1
994,2,1,416000,380400000,3,2,4,31,1,1,4,4,12,1
2939,2,1,560000,143700000,2,3,5,40,0,1,2,2,12,1
2150,2,1,784000,123300000,3,3,5,40,0,1,4,2,12,1
704,2,1,416000,378100000,5,3,5,37,0,0,3,2,3,1
1810,1,1,640000,234300000,5,1,3,31,1,0,4,4,15,1
2658,1,1,760000,496400000,1,2,1,25,0,1,2,2,5,1
513,2,1,632000,570600000,3,2,4,31,1,1,4,4,12,1
2146,2,1,680000,482400000,3,2,5,31,1,1,2,1,12,1
714,2,1,592000,285200000,3,2,3,29,1,0,3,2,5,1
450,1,1,440000,453300000,5,1,3,31,1,0,4,4,15,1
665,2,1,576000,120000000,5,1,3,32,0,1,2,3,9,1
1156,2,1,560000,430300000,2,2,5,31,1,1,4,1,12,1
1644,2,1,680000,584100000,2,2,5,31,1,1,4,1,12,1
1239,2,1,480000,391200000,2,2,5,31,1,1,2,1,12,1
2722,2,1,248000,325400000,2,1,4,35,1,1,1,1,6,1
2332,1,1,304000,388200000,2,1,4,36,1,0,2,1,9,1
2697,2,1,416000,42800000,3,1,3,32,0,1,4,3,9,1
1429,2,1,736000,377800000,2,2,4,31,1,1,4,4,12,1
1228,1,1,264000,450400000,5,1,3,31,1,0,4,4,15,1
1810,1,1,640000,234300000,5,1,3,31,1,0,4,4,15,1
527,1,1,360000,491600000,1,2,1,25,0,1,2,2,5,1
532,2,1,464000,350200000,3,2,4,32,0,1,3,4,9,1
2514,2,1,648000,48200000,2,2,5,31,1,1,2,1,12,1
2891,2,1,608000,348400000,2,3,5,40,0,1,2,2,12,1
1733,2,1,536000,302700000,3,1,3,32,0,1,4,3,9,1
2260,1,1,88000,297500000,1,2,1,25,0,1,2,2,5,1
1949,2,1,504000,243400000,3,2,4,31,1,1,4,4,12,1
1201,2,1,400000,556000000,3,1,3,32,0,1,4,2,12,1
2265,2,1,184000,132200000,3,2,4,32,0,1,3,4,9,1
2747,1,2,312000,309900000,3,3,5,35,1,1,4,4,3,1
1678,2,1,608000,452800000,3,2,4,32,0,1,2,4,9,1
538,2,1,384000,227400000,3,1,3,32,0,1,4,3,9,1
1473,2,1,544000,596900000,3,1,3,32,0,1,4,3,9,1
1060,1,1,368000,599300000,5,1,3,31,1,0,4,4,15,1
2152,1,1,608000,16500000,3,2,1,25,0,1,2,2,5,1
934,2,1,464000,432300000,3,2,4,31,1,1,4,4,12,1
2697,2,1,416000,42800000,3,1,3,32,0,1,4,3,9,1
513,2,1,632000,570600000,3,2,4,31,1,1,4,4,12,1
1228,1,1,264000,450400000,5,1,3,31,1,0,4,4,15,1
2204,2,1,712000,525000000,5,2,3,29,1,0,1,2,9,1
2016,2,1,328000,227700000,2,1,3,32,0,1,4,3,9,1
7,1,1,250000,150000000,1,2,1,25,0,1,2,2,5,1
1082,2,1,632000,386400000,3,2,4,32,0,1,1,4,9,1
903,2,1,688000,245600000,2,2,5,31,1,1,2,1,12,1
2302,2,1,400000,237500000,3,2,4,32,0,1,3,4,9,1
1606,2,1,128000,83300000,3,1,3,32,0,1,4,3,9,1
132,1,2,568000,164300000,2,1,4,30,0,0,4,1,3,1
569,2,1,232000,419100000,3,2,4,32,0,1,3,4,9,1
32,1,1,624000,38200000,1,2,1,25,0,1,2,2,5,1
829,2,1,464000,14700000,3,2,4,32,0,1,3,4,9,1
361,2,1,408000,172400000,3,2,4,31,1,1,4,4,12,1
2327,2,1,488000,211700000,3,2,4,32,0,1,3,4,5,1
2876,1,1,712000,377100000,3,1,3,31,1,0,4,4,15,1
743,2,1,128000,531200000,3,2,3,29,1,0,3,2,5,1
475,1,1,344000,438200000,5,1,3,31,1,0,4,2,15,1
1431,2,1,480000,522200000,3,1,3,32,0,1,4,3,9,1
543,2,1,104000,216100000,2,3,5,40,0,1,2,2,12,1
200,2,1,328000,132200000,3,1,3,32,0,1,4,3,9,1
435,2,1,216000,311200000,3,1,3,32,0,1,4,3,9,1
2380,1,1,512000,332600000,1,2,1,25,0,1,2,2,5,1
2219,2,1,680000,518300000,3,3,5,37,0,0,2,2,3,1
2067,1,1,616000,190300000,3,2,1,25,0,1,2,2,5,1
2207,2,2,360000,103600000,4,2,2,25,0,0,3,2,3,1
1491,2,1,232000,105300000,3,2,4,31,1,1,4,4,12,1
1503,2,1,392000,245400000,3,3,5,40,0,1,2,2,12,1
383,1,1,480000,236400000,5,1,3,31,1,0,4,4,15,1
2986,2,1,488000,45500000,1,2,2,30,1,0,2,1,4,1
903,2,1,688000,245600000,2,2,5,31,1,1,2,1,12,1
807,1,1,496000,569100000,5,1,3,31,1,0,4,4,12,1
412,1,1,600000,361300000,3,1,3,36,1,0,4,4,6,1
1807,2,1,192000,450900000,3,2,4,32,0,1,3,4,9,1
1678,2,1,608000,452800000,3,2,4,32,0,1,2,4,9,1
361,2,1,408000,172400000,3,2,4,31,1,1,4,4,12,1
550,2,1,488000,390100000,3,2,4,32,0,1,3,4,9,1
1201,2,1,400000,556000000,3,1,3,32,0,1,4,2,12,1
2495,1,1,288000,17400000,1,2,1,25,0,1,2,2,5,1
2896,2,1,544000,574100000,1,2,2,30,1,1,4,1,6,1
579,1,2,200000,210000000,2,1,4,30,0,0,3,4,3,1
2541,2,1,328000,129000000,3,2,4,31,1,1,4,4,12,1
